IP,端口,速度(MB/s),延迟(ms),国家地区,数据中心(CF机房),宽带属性,所属ASN,网络服务商(ISP),寻迹雷达状态
179.255.116.105,443,12.71,508.71,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.253.236.70,443,12.7,527.21,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.253.236.105,443,12.7,491,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.253.240.177,443,12.68,459.8,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.108.137,443,12.67,503.32,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.120.188,443,12.67,541.09,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
103.135.250.172,443,12.64,131.15,中国香港 中国香港 Kwai Chung,香港 (HKG),?数据,AS32519,DMIT Cloud Services,[反代网络] 寻迹落地: 香港 (HKG)
179.253.225.15,443,12.63,532.9,巴西 巴西 Curitiba,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.253.224.180,443,12.6,593.15,巴西 巴西 Curitiba,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.148.2,443,12.59,515.53,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.108.74,443,12.56,515.81,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.124.36,443,12.56,518.06,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.116.187,443,12.47,466.09,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
154.17.22.175,443,12.4,534.31,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.112.98,443,12.4,526.89,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.152.201,443,12.37,520.58,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.104.35,443,12.35,481.34,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.124.250,443,12.3,508.68,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
154.17.26.99,443,12.23,532.1,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.108.180,443,12.22,500.95,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.153.81,443,12.22,486.95,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.97.81,443,12.16,526.6,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.253.224.205,443,12.15,587.62,巴西 巴西 Curitiba,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.253.224.247,443,12.11,506.52,巴西 巴西 Curitiba,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
154.17.25.76,443,12.08,516.84,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.97.74,443,12.08,529.77,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.124.61,443,12.06,485.93,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.108.179,443,12.02,512.68,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
191.222.216.74,443,12,166.56,中国香港 中国香港 Kwai Chung,香港 (HKG),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 香港 (HKG)
179.255.113.38,443,11.99,480.05,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
191.222.217.156,443,11.97,133.5,中国香港 中国香港 Kwai Chung,香港 (HKG),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 香港 (HKG)
64.186.232.219,443,11.96,569.29,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.116.193,443,11.95,510.62,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.253.225.21,443,11.94,580.19,巴西 巴西 Curitiba,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.253.236.60,443,11.92,539.35,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.253.237.68,443,11.9,532.42,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.253.236.83,443,11.89,502.63,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.255.96.105,443,11.87,518.4,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
64.186.237.121,443,11.86,531.69,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
179.253.236.130,443,11.86,513.47,美国 美国 Los Angeles,洛杉矶 (LAX),?数据,AS906,DMIT Cloud Services,[反代网络] 寻迹落地: 洛杉矶 (LAX)
